Perfume,Brand,Gender,Country,Citrus–Green,Amber–Resinous,Musky–Soapy,Marine–Ozonic,Spicy–Aromatic,Woody–Earthy,Floral–Powdery,Fruity–Tropical,Sweet–Gourmand,Smoky–Leathery
ocean-for-men,bath-body-works,men,USA,0.08,0.0,0.0,0.08,0.36,0.47,0.0,0.0,0.0,0.0
i-love-new-york-for-her,bond-no-9,women,USA,0.0,0.0,0.0,0.0,0.0,0.24,0.12,0.06,0.35,0.23
i-love-new-york-for-holidays,bond-no-9,unisex,USA,0.0,0.0,0.0,0.0,0.07,0.47,0.0,0.07,0.07,0.33
dubai-citrine,bond-no-9,unisex,USA,0.1,0.48,0.0,0.0,0.21,0.0,0.1,0.0,0.1,0.0
my-burberry-black,burberry,women,UK,0.0,0.34,0.0,0.0,0.0,0.4,0.2,0.06,0.0,0.0
bvlgari-rose-essentielle-eau-de-toilette-rosee,bvlgari,women,Italy,0.08,0.0,0.08,0.0,0.0,0.39,0.44,0.0,0.0,0.0
eau-parfumee-au-the-vert,bvlgari,unisex,Italy,0.4,0.28,0.0,0.0,0.06,0.06,0.2,0.0,0.0,0.0
amarena,bvlgari,women,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.26,0.06,0.0
rolling-in-love,by-kilian,unisex,France,0.0,0.0,0.06,0.0,0.0,0.0,0.42,0.0,0.52,0.0
accord-oud,byredo,unisex,Sweden,0.0,0.0,0.0,0.0,0.06,0.41,0.0,0.06,0.0,0.47
fantastic-man,byredo,men,Sweden,0.0,0.0,0.0,0.0,0.44,0.56,0.0,0.0,0.0,0.0
oliver-peoples-rosewood,byredo,unisex,Sweden,0.08,0.0,0.0,0.39,0.25,0.28,0.0,0.0,0.0,0.0
noa-l-eau-de-parfum,cacharel,women,France,0.0,0.0,0.06,0.0,0.0,0.4,0.54,0.0,0.0,0.0
crave,calvin-klein,men,USA,0.4,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0
ck-one-summer,calvin-klein,unisex,USA,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
212-vip-men-wins,carolina-herrera,men,USA,0.27,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.14,0.0
ch-beasts,carolina-herrera,men,USA,0.0,0.08,0.0,0.08,0.17,0.08,0.19,0.0,0.39,0.0
ch-garden-party,carolina-herrera,women,USA,0.14,0.0,0.0,0.0,0.14,0.14,0.45,0.14,0.0,0.0
la-panthere-legere,cartier,women,France,0.2,0.0,0.0,0.0,0.0,0.38,0.16,0.06,0.0,0.2
coach-poppy-freesia-blossom,coach,women,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0
acier-aluminium,creed,men,France,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.45,0.27,0.0
sublime-vanille,creed,unisex,France,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.58,0.0
bitter-rose-broken-spear,ds-durga,unisex,USA,0.0,0.39,0.0,0.0,0.17,0.08,0.28,0.0,0.0,0.08
adventure-amazonia,davidoff,men,Switzerland,0.4,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
cool-water-pacific-summer-edition-for-men,davidoff,men,Switzerland,0.4,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
dior-addict-2-eau-fraiche,dior,women,France,0.14,0.0,0.0,0.0,0.14,0.0,0.45,0.14,0.14,0.0
leather-oud,dior,unisex,France,0.0,0.0,0.0,0.18,0.06,0.47,0.0,0.0,0.0,0.3
miss-dior-absolutely-blooming,dior,women,France,0.0,0.0,0.0,0.0,0.0,0.14,0.58,0.14,0.14,0.0
othoniel-rosa,diptyque,unisex,France,0.0,0.0,0.0,0.0,0.41,0.14,0.45,0.0,0.0,0.0
l-eau-de-neroli,diptyque,unisex,France,0.21,0.0,0.0,0.0,0.21,0.0,0.1,0.0,0.48,0.0
light-blue-sun,dolce-gabbana,women,Italy,0.06,0.0,0.0,0.26,0.0,0.0,0.1,0.32,0.26,0.0
velvet-black-patchouli,dolce-gabbana,unisex,Italy,0.0,0.0,0.0,0.0,0.06,0.26,0.0,0.0,0.68,0.0
arden-men-sandalwood,elizabeth-arden,men,USA,0.06,0.34,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
candy-love,escada,women,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.08,0.64,0.0
knowing,estee-lauder,women,France,0.13,0.13,0.0,0.0,0.06,0.31,0.37,0.0,0.0,0.0
wood-mystique,estee-lauder,unisex,France,0.0,0.0,0.0,0.0,0.0,0.47,0.3,0.0,0.06,0.18
my-way-floral,giorgio-armani,women,Italy,0.46,0.0,0.06,0.0,0.0,0.0,0.22,0.0,0.26,0.0
out-in-the-open,a13,unisex,Romania,0.0,0.0,0.06,0.0,0.0,0.0,0.18,0.0,0.53,0.23
colonia-club,acqua-di-parma,unisex,Italy,0.27,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0
colonia-ebano,acqua-di-parma,men,Italy,0.0,0.08,0.0,0.0,0.17,0.47,0.0,0.0,0.28,0.0
samourai,alain-delon,men,France,0.14,0.0,0.0,0.0,0.14,0.14,0.58,0.0,0.0,0.0
journey-woman,amouage,women,Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.08,0.36,0.39
portrayal-man,amouage,men,Oman,0.0,0.0,0.0,0.21,0.21,0.1,0.48,0.0,0.0,0.0
the-library-collection-opus-iv,amouage,unisex,Oman,0.08,0.08,0.0,0.0,0.25,0.0,0.59,0.0,0.0,0.0
ange-ou-demon-le-secret,givenchy,women,France,0.31,0.0,0.0,0.0,0.0,0.48,0.1,0.1,0.0,0.0
gucci-by-gucci-pour-homme,gucci,men,Italy,0.0,0.16,0.0,0.0,0.12,0.22,0.22,0.0,0.0,0.29
a-floral-verse,gucci,unisex,Italy,0.4,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0
aqua-allegoria-gentiana,guerlain,women,France,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0
aqua-allegoria-forte-rosa-rossa,guerlain,women,France,0.0,0.0,0.0,0.0,0.06,0.29,0.35,0.06,0.23,0.0
musc-noble,guerlain,unisex,France,0.0,0.28,0.06,0.0,0.06,0.0,0.26,0.0,0.0,0.34
elixir-charnel-le-boise-torride,guerlain,women,France,0.1,0.0,0.0,0.0,0.0,0.6,0.1,0.1,0.1,0.0
jardins-de-bagatelle-eau-de-parfum,guerlain,women,France,0.14,0.0,0.0,0.0,0.0,0.39,0.47,0.0,0.0,0.0
le-frenchy,guerlain,men,France,0.18,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0
amazone-2017-re-launch,hermes,women,France,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.0
boss-intense,hugo-boss,women,Germany,0.0,0.23,0.0,0.0,0.06,0.29,0.24,0.0,0.18,0.0
l-eau-d-issey-summer-2015,issey-miyake,women,Japan,0.17,0.0,0.0,0.0,0.0,0.0,0.28,0.17,0.39,0.0
l-eau-d-issey-pure-nectar-de-parfum,issey-miyake,women,Japan,0.06,0.0,0.0,0.06,0.0,0.0,0.54,0.0,0.34,0.0
classique-pirate-edition,jean-paul-gaultier,women,France,0.06,0.14,0.0,0.0,0.14,0.0,0.4,0.06,0.2,0.0
silk-blossom-cologne,jo-malone-london,unisex,UK,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0
london-rain-black-cedarwood-juniper,jo-malone-london,unisex,UK,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0
crystal-campion-cologne,jo-malone-london,unisex,UK,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.0,0.0,0.0
sorrel-lemon-thyme,jo-malone-london,unisex,UK,0.33,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
viva-la-juicy-glace,juicy-couture,women,USA,0.07,0.33,0.0,0.07,0.0,0.0,0.0,0.07,0.47,0.0
viva-la-juicy-le-bubbly,juicy-couture,women,USA,0.46,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
vengeance-extreme,juliette-has-a-gun,women,France,0.0,0.06,0.06,0.0,0.23,0.24,0.18,0.0,0.23,0.0
in-full-bloom-blush,kate-spade,women,USA,0.56,0.0,0.0,0.0,0.0,0.08,0.36,0.0,0.0,0.0
musk-12,kayali-fragrances,unisex,UAE,0.0,0.0,0.1,0.0,0.0,0.1,0.21,0.0,0.59,0.0
flower-by-kenzo-eau-de-lumiere,kenzo,women,France,0.0,0.0,0.08,0.0,0.0,0.0,0.92,0.0,0.0,0.0
cuir-grenat,l-artisan-parfumeur,unisex,France,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.58
lalique-de-lalique-20th-anniversary-limited-edition,lalique,women,France,0.0,0.0,0.0,0.0,0.06,0.06,0.59,0.06,0.23,0.0
tropiques,lancome,women,France,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.21,0.69,0.0
la-nuit-tresor-le-parfum,lancome,women,France,0.0,0.0,0.0,0.0,0.06,0.4,0.14,0.06,0.34,0.0
roses-berberanza,lancome,unisex,France,0.06,0.0,0.0,0.0,0.0,0.18,0.24,0.06,0.35,0.12
miracle-white-nights,lancome,women,France,0.08,0.39,0.0,0.0,0.08,0.0,0.28,0.17,0.0,0.0
o-oui,lancome,women,France,0.21,0.18,0.0,0.0,0.18,0.18,0.21,0.06,0.0,0.0
al-dur-al-maknoon-silver,lattafa-perfumes,unisex,UAE,0.06,0.28,0.0,0.0,0.0,0.14,0.0,0.06,0.06,0.4
sheikh-al-shuyukh-luxe-edition,lattafa-perfumes,unisex,UAE,0.0,0.2,0.0,0.0,0.2,0.13,0.2,0.0,0.27,0.0
raghba-for-men,lattafa-perfumes,men,UAE,0.06,0.0,0.0,0.06,0.0,0.06,0.54,0.0,0.0,0.28
tras-la-tormenta-en-el-jardin-botanico,loewe,unisex,Spain,0.0,0.0,0.0,0.0,0.06,0.35,0.59,0.0,0.0,0.0
lolita-lempicka-le-premier-parfum-eau-de-toilette-morsure-d-amour,lolita-lempicka,women,France,0.0,0.0,0.0,0.0,0.06,0.0,0.42,0.2,0.32,0.0
sous-le-figuier,m-micallef,women,France,0.08,0.0,0.0,0.0,0.0,0.08,0.28,0.47,0.08,0.0
exclusif-rose,maison-alhambra,women,UAE,0.0,0.29,0.0,0.0,0.0,0.06,0.59,0.0,0.06,0.0
aoud-blue-notes,mancera,unisex,France,0.17,0.11,0.0,0.0,0.0,0.11,0.17,0.17,0.17,0.11
wild-rose-oud,mancera,unisex,France,0.06,0.18,0.06,0.0,0.0,0.32,0.21,0.0,0.18,0.0
daisy-love,marc-jacobs,women,USA,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0
perfect,marc-jacobs,women,USA,0.14,0.0,0.0,0.0,0.14,0.14,0.0,0.14,0.45,0.0
cocktail-splash-curacao,marc-jacobs,unisex,USA,0.14,0.0,0.0,0.0,0.0,0.0,0.58,0.14,0.14,0.0
rendez-vous-a-milan,montale,unisex,France,0.0,0.14,0.0,0.0,0.12,0.0,0.2,0.0,0.54,0.0
emblem-intense,montblanc,men,France,0.0,0.0,0.0,0.0,0.28,0.46,0.26,0.0,0.0,0.0
a-men,mugler,men,France,0.08,0.08,0.0,0.0,0.14,0.12,0.0,0.08,0.49,0.0
narciso-rodriguez-for-her,narciso-rodriguez,women,USA,0.08,0.19,0.08,0.0,0.0,0.39,0.25,0.0,0.0,0.0
narciso-rouge,narciso-rodriguez,women,USA,0.0,0.0,0.06,0.0,0.0,0.06,0.62,0.0,0.26,0.0
desperte,natura,men,Brazil,0.0,0.0,0.0,0.0,0.66,0.1,0.24,0.0,0.0,0.0
humor-2,natura,men,Brazil,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0
kaiak-aventura,natura,women,Brazil,0.32,0.2,0.0,0.2,0.0,0.0,0.28,0.0,0.0,0.0
luna,natura,women,Brazil,0.06,0.13,0.0,0.0,0.0,0.19,0.31,0.06,0.25,0.0
sr-n-ambar,natura,men,Brazil,0.06,0.29,0.0,0.0,0.06,0.59,0.0,0.0,0.0,0.0
noz-peca-e-karite,natura,women,Brazil,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.16,0.32,0.0
l-air-du-paradis,nina-ricci,women,France,0.08,0.0,0.0,0.0,0.0,0.39,0.36,0.17,0.0,0.0
elysee-succes,o-boticario,women,Brazil,0.0,0.0,0.0,0.0,0.0,0.47,0.3,0.06,0.18,0.0
lady-lily,o-boticario,women,Brazil,0.41,0.32,0.0,0.0,0.0,0.09,0.17,0.0,0.0,0.0
malbec-gold,o-boticario,men,Brazil,0.0,0.06,0.0,0.0,0.24,0.35,0.0,0.0,0.23,0.12
thaty-princess,o-boticario,women,Brazil,0.06,0.28,0.0,0.0,0.06,0.0,0.2,0.06,0.34,0.0
zaad-mondo,o-boticario,men,Brazil,0.24,0.0,0.0,0.18,0.21,0.24,0.09,0.06,0.0,0.0
vanille-des-afriques-intensivo,ormonde-jayne,unisex,UK,0.0,0.23,0.0,0.0,0.06,0.06,0.12,0.0,0.53,0.0
cuoium,orto-parisi,unisex,Netherlands,0.0,0.06,0.06,0.0,0.0,0.37,0.08,0.0,0.16,0.28
legacy-of-petra,penhaligon-s,unisex,UK,0.23,0.12,0.0,0.0,0.12,0.23,0.0,0.0,0.29,0.0
bayolea,penhaligon-s,men,UK,0.06,0.28,0.0,0.0,0.32,0.34,0.0,0.0,0.0,0.0
malabah,penhaligon-s,women,UK,0.17,0.39,0.0,0.0,0.25,0.0,0.19,0.0,0.0,0.0
polo-red-eau-de-parfum,ralph-lauren,men,USA,0.0,0.14,0.0,0.0,0.58,0.14,0.0,0.14,0.0,0.0
romance-eau-fraiche,ralph-lauren,women,USA,0.12,0.0,0.0,0.06,0.0,0.28,0.54,0.0,0.0,0.0
rania,rasasi,women,UAE,0.0,0.29,0.0,0.0,0.0,0.06,0.41,0.18,0.06,0.0
reflets-d-eau-de-rochas-pour-homme,rochas,men,France,0.17,0.39,0.0,0.0,0.08,0.0,0.36,0.0,0.0,0.0
danger-pour-homme-parfum-cologne,roja-dove,men,UK,0.06,0.0,0.0,0.0,0.34,0.37,0.08,0.0,0.0,0.16
coco-cabana,sol-de-janeiro,women,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0
edge-intense,swiss-arabian,men,UAE,0.12,0.28,0.0,0.0,0.12,0.0,0.14,0.06,0.28,0.0
tabit,tiziana-terenzi,unisex,Italy,0.13,0.13,0.06,0.06,0.0,0.13,0.12,0.12,0.25,0.0
fougere-platine,tom-ford,unisex,USA,0.0,0.0,0.0,0.0,0.38,0.26,0.0,0.0,0.1,0.26
maritime-triumph,tommy-bahama,men,USA,0.07,0.0,0.0,0.0,0.14,0.47,0.33,0.0,0.0,0.0
tommy-10,tommy-hilfiger,men,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.14,0.27,0.0
tommy-weekend-getaway,tommy-hilfiger,men,USA,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
blue-land,trussardi,men,Italy,0.62,0.0,0.0,0.06,0.2,0.12,0.0,0.0,0.0,0.0
trussardi-uomo-eau-de-parfum,trussardi,men,Italy,0.12,0.0,0.0,0.0,0.12,0.28,0.14,0.0,0.0,0.34
valentino-donna-born-in-roma-coral-fantasy,valentino,women,Italy,0.14,0.0,0.14,0.0,0.0,0.0,0.32,0.27,0.14,0.0
glamour,victoria-s-secret,women,USA,0.0,0.59,0.0,0.0,0.0,0.0,0.1,0.21,0.1,0.0
heavenly-eau-de-parfum-2023,victoria-s-secret,women,USA,0.0,0.0,0.1,0.0,0.0,0.1,0.21,0.0,0.59,0.0
bombshell-magic,victoria-s-secret,women,USA,0.0,0.0,0.0,0.0,0.0,0.4,0.07,0.07,0.47,0.0
tease-please,victoria-s-secret,women,USA,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0
dream-angels-heavenly-temptation,victoria-s-secret,women,USA,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0
bonbon-couture,viktor-rolf,women,Netherlands,0.0,0.0,0.0,0.0,0.0,0.26,0.06,0.0,0.48,0.2
lavender-illusion,viktor-rolf,unisex,Netherlands,0.14,0.0,0.0,0.0,0.58,0.14,0.0,0.14,0.0,0.0
salty-flower,viktor-rolf,unisex,Netherlands,0.14,0.0,0.0,0.14,0.0,0.0,0.58,0.14,0.0,0.0
harrods-emerald-star,xerjoff,unisex,Italy,0.0,0.6,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0
voile-d-ambre,yves-rocher,women,France,0.0,0.14,0.0,0.0,0.07,0.4,0.0,0.0,0.4,0.0
black-opium-extreme,yves-saint-laurent,women,France,0.0,0.0,0.0,0.0,0.06,0.18,0.06,0.0,0.7,0.0
exquisite-musk,yves-saint-laurent,unisex,France,0.0,0.06,0.06,0.0,0.24,0.47,0.18,0.0,0.0,0.0
magnificent-blossom,yves-saint-laurent,unisex,France,0.1,0.0,0.0,0.0,0.0,0.59,0.21,0.0,0.1,0.0
zara-white,zara,women,Spain,0.0,0.48,0.1,0.0,0.21,0.0,0.1,0.1,0.0,0.0
flwr-001-alm,zara,women,Spain,0.27,0.0,0.14,0.0,0.14,0.0,0.45,0.0,0.0,0.0
noble-wisteria,zara,women,Spain,0.21,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0
royal-freesia,zara,women,Spain,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.0,0.0,0.0
sultry-pear-eau-de-parfum,zara,women,Spain,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.84,0.0
zara-san-francisco,zara,men,Spain,0.0,0.0,0.0,0.0,0.08,0.08,0.36,0.0,0.47,0.0
black-peony,zara,women,Spain,0.1,0.0,0.0,0.0,0.0,0.1,0.21,0.0,0.59,0.0
white-jasmine,zara,women,Spain,0.45,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
lemon-pie,zara,women,Spain,0.2,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0
salty-ocean-bouquet,zara,women,Spain,0.2,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0
ultra-juicy-2019,zara,women,Spain,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.0
wonder-rose-sublime,zara,women,Spain,0.4,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.28,0.0
secret-infusion,zara,women,Spain,0.14,0.0,0.0,0.0,0.0,0.0,0.72,0.14,0.0,0.0
s4nd4lw00d,zara,men,Spain,0.0,0.0,0.0,0.0,0.08,0.08,0.36,0.0,0.0,0.47
chipmunk,zoologist-perfumes,unisex,Canada,0.0,0.0,0.0,0.0,0.17,0.75,0.0,0.0,0.08,0.0
bonjour-senorita,tous,women,Spain,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.32,0.4,0.0
tous-l-eau-eau-de-parfum,tous,women,Spain,0.12,0.23,0.06,0.0,0.0,0.29,0.29,0.0,0.0,0.0
sweet-dream,shakira,women,USA,0.0,0.0,0.0,0.0,0.0,0.4,0.23,0.07,0.3,0.0
charlie-sunshine,revlon,women,USA,0.35,0.23,0.0,0.0,0.0,0.0,0.35,0.06,0.0,0.0
rouge-de-revlon,revlon,women,USA,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0
fairy-city-lights,oriflame,women,Sweden,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.47,0.0
amber-elixir-night,oriflame,women,Sweden,0.0,0.21,0.0,0.0,0.06,0.24,0.26,0.0,0.24,0.0
moncler-pour-femme,moncler,women,Italy,0.0,0.23,0.0,0.0,0.0,0.1,0.33,0.0,0.33,0.0
miro-femme,miro,women,Germany,0.07,0.0,0.0,0.0,0.0,0.07,0.72,0.07,0.07,0.0
miro-magic,miro,women,Germany,0.08,0.0,0.0,0.0,0.0,0.56,0.36,0.0,0.0,0.0
mystique-shimmer,michael-kors,women,USA,0.0,0.34,0.06,0.0,0.12,0.34,0.14,0.0,0.0,0.0
festival-nite-for-her,hollister,women,USA,0.0,0.23,0.0,0.0,0.0,0.0,0.06,0.35,0.35,0.0
free-wave-for-her,hollister,women,USA,0.21,0.0,0.0,0.0,0.0,0.48,0.1,0.1,0.1,0.0
fehom,hayari-parfums,unisex,France,0.0,0.34,0.0,0.0,0.12,0.06,0.14,0.0,0.34,0.0
lirio,granado,unisex,Brazil,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.2,0.0,0.0
uno,esika,men,Peru,0.1,0.1,0.1,0.0,0.21,0.0,0.0,0.0,0.0,0.48
opera-night,dzintars,women,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.08,0.56,0.0
voile-leger-lilas,dzintars,women,Latvia,0.06,0.0,0.0,0.0,0.0,0.34,0.26,0.0,0.34,0.0
voile-leger-orange,dzintars,women,Latvia,0.0,0.34,0.0,0.0,0.0,0.0,0.12,0.0,0.54,0.0
eau-des-vignes,caudalie,women,France,0.14,0.0,0.14,0.0,0.14,0.0,0.58,0.0,0.0,0.0
parco-palladiano-xii-quercia,bottega-veneta,unisex,Italy,0.0,0.1,0.0,0.0,0.21,0.69,0.0,0.0,0.0,0.0
dark-cherry-amber,banana-republic,unisex,USA,0.2,0.26,0.0,0.0,0.0,0.0,0.06,0.36,0.12,0.0
b-balenciaga,balenciaga,women,Spain,0.1,0.0,0.1,0.21,0.0,0.1,0.48,0.0,0.0,0.0
black-amber,agonist,unisex,Sweden,0.0,0.12,0.0,0.0,0.06,0.34,0.0,0.0,0.28,0.2
the-infidels,agonist,unisex,Sweden,0.0,0.28,0.0,0.0,0.12,0.22,0.23,0.0,0.16,0.0
u-love-live,adolfo-dominguez,women,Spain,0.0,0.33,0.0,0.0,0.0,0.07,0.6,0.0,0.0,0.0
eau-fraiche-peonia-rose,angel-schlesser,women,Spain,0.27,0.0,0.14,0.0,0.0,0.0,0.59,0.0,0.0,0.0
angel-schlesser-femme-eau-de-parfum,angel-schlesser,women,Spain,0.08,0.47,0.0,0.0,0.17,0.0,0.28,0.0,0.0,0.0
let-s-fly,benetton,men,Italy,0.08,0.39,0.0,0.17,0.36,0.0,0.0,0.0,0.0,0.0
khoul,blend-oud,unisex,Italy,0.29,0.24,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.0
charriol-homme-sport,charriol,men,Switzerland,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0
annaelle,evaflor,women,France,0.0,0.34,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0
pierre-cardin-collection-iris-sauvage,pierre-cardin,men,France,0.34,0.0,0.0,0.0,0.06,0.06,0.26,0.0,0.28,0.0
pierre-cardin-pour-homme,pierre-cardin,men,France,0.06,0.23,0.0,0.0,0.35,0.06,0.0,0.0,0.29,0.0
rose-by-cardin,pierre-cardin,women,France,0.0,0.2,0.0,0.0,0.12,0.26,0.22,0.2,0.0,0.0
puposhka,pupa,women,Italy,0.06,0.2,0.0,0.0,0.0,0.06,0.16,0.0,0.52,0.0
oasis-de-fleurs,rituals,women,Netherlands,0.27,0.0,0.0,0.0,0.27,0.0,0.45,0.0,0.0,0.0
volumna,sigilli,women,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.3,0.23,0.0
fluo,tezenis,unisex,Italy,0.08,0.47,0.08,0.0,0.36,0.0,0.0,0.0,0.0,0.0
terryfic-oud,terry-de-gunzburg,unisex,France,0.0,0.24,0.0,0.0,0.0,0.41,0.36,0.0,0.0,0.0
legend,aaron-terence-hughes,men,UK,0.08,0.36,0.0,0.0,0.08,0.47,0.0,0.0,0.0,0.0
oud,aaron-terence-hughes,unisex,UK,0.0,0.15,0.12,0.0,0.0,0.47,0.09,0.0,0.0,0.18
faro,acqua-di-portofino,unisex,Italy,0.08,0.28,0.0,0.14,0.15,0.36,0.0,0.0,0.0,0.0
cepes-and-tuberose,aftelier,unisex,USA,0.0,0.0,0.0,0.0,0.0,0.21,0.79,0.0,0.0,0.0
slumber-party,antonio-maretti,women,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
siberian-summer,areej-le-dore,unisex,Russia,0.0,0.23,0.06,0.0,0.35,0.06,0.0,0.0,0.23,0.06
malik-al-motia,areej-le-dore,unisex,Russia,0.0,0.55,0.0,0.0,0.0,0.28,0.17,0.0,0.0,0.0
musc-imperial,atelier-cologne,unisex,USA,0.1,0.0,0.0,0.0,0.35,0.1,0.1,0.1,0.0,0.24
momentum-unlimited,bentley,men,UK,0.4,0.0,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.4
monarch,boadicea-the-victorious,unisex,UK,0.0,0.06,0.0,0.0,0.13,0.28,0.07,0.0,0.26,0.2
903-baies-du-nepal-safran-oud,bon-parfumeur,unisex,France,0.0,0.08,0.0,0.0,0.08,0.84,0.0,0.0,0.0,0.0
trouble-eau-legere,boucheron,women,France,0.07,0.4,0.0,0.0,0.0,0.0,0.14,0.0,0.4,0.0
black-fleece,brooks-brothers,women,USA,0.06,0.24,0.0,0.0,0.12,0.41,0.0,0.0,0.0,0.18
bugatti-dynamic-move-black,bugatti-fashion,men,Germany,0.0,0.26,0.06,0.0,0.16,0.0,0.2,0.0,0.32,0.0
dolce-riso,cale-fragranze-d-autore,unisex,Italy,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.0
ed-hardy-skulls-roses-for-her,christian-audigier,women,USA,0.0,0.0,0.0,0.07,0.0,0.0,0.4,0.07,0.47,0.0
scent-cool-gloss,costume-national,women,Italy,0.0,0.0,0.0,0.0,0.21,0.0,0.79,0.0,0.0,0.0
courreges-in-blue-eau-de-parfum,courreges,women,France,0.07,0.0,0.0,0.0,0.3,0.47,0.16,0.0,0.0,0.0
la-fille-de-l-air,courreges,women,France,0.14,0.0,0.0,0.45,0.27,0.0,0.14,0.0,0.0,0.0
aatifa,ajmal,unisex,UAE,0.0,0.41,0.06,0.0,0.06,0.18,0.29,0.0,0.0,0.0
incognito,dana,women,USA,0.13,0.25,0.0,0.0,0.12,0.19,0.06,0.0,0.25,0.0
fuel-for-life-he-summer,diesel,men,Italy,0.06,0.28,0.0,0.34,0.32,0.0,0.0,0.0,0.0,0.0
dkny-delicious-delights-fruity-rooty,donna-karan,women,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.07,0.47,0.0
rosso-nobile,dr-vranjes-firenze,unisex,Italy,0.0,0.0,0.0,0.0,0.0,0.49,0.3,0.11,0.11,0.0
sofron,farmacia-ss-annunziata,unisex,Italy,0.36,0.0,0.0,0.0,0.08,0.39,0.08,0.08,0.0,0.0
talc-gourmand,farmacia-ss-annunziata,women,Italy,0.0,0.0,0.0,0.0,0.06,0.0,0.18,0.0,0.76,0.0
summer-23,ffern,women,UK,0.07,0.07,0.0,0.0,0.14,0.07,0.65,0.0,0.0,0.0
elite,floris,men,UK,0.06,0.2,0.0,0.0,0.22,0.32,0.0,0.0,0.0,0.2
night-scented-jasmine,floris,women,UK,0.24,0.18,0.0,0.0,0.0,0.06,0.52,0.0,0.0,0.0
white-rose,floris,women,UK,0.22,0.16,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0
sugar-lychee,fresh,unisex,USA,0.21,0.48,0.0,0.0,0.0,0.0,0.1,0.21,0.0,0.0
o-vert,gallagher-fragrances,unisex,USA,0.74,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0
